"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2503","User login with wrong email or password","LMS system","Tue May 12 16:25:32 UTC 2026","passed","Tue May 12 16:25:35 UTC 2026","Authorization","Authentication","",""
"","1449","User login with wrong email or password","LMS system","Tue May 12 16:25:35 UTC 2026","passed","Tue May 12 16:25:36 UTC 2026","Authorization","Authentication","",""
"","1415","Navigation from login page to registration page","LMS system","Tue May 12 16:25:38 UTC 2026","passed","Tue May 12 16:25:40 UTC 2026","Authorization","Authentication","",""
"","3781","Edit course","LMS system","Tue May 12 16:25:42 UTC 2026","passed","Tue May 12 16:25:46 UTC 2026","Authorization","Authentication","",""
"","2906","User login with correct email and password","LMS system","Tue May 12 16:25:35 UTC 2026","passed","Tue May 12 16:25:38 UTC 2026","Authorization","Authentication","",""
"","1940","Create course","LMS system","Tue May 12 16:25:41 UTC 2026","passed","Tue May 12 16:25:43 UTC 2026","Authorization","Authentication","",""
"","2487","User login with wrong email or password","LMS system","Tue May 12 16:25:32 UTC 2026","passed","Tue May 12 16:25:35 UTC 2026","Authorization","Authentication","",""
"","1860","Check displaying of dashboard page","LMS system","Tue May 12 16:25:43 UTC 2026","passed","Tue May 12 16:25:45 UTC 2026","Authorization","Authentication","",""
"","1834","Registration with correct email, username and password","LMS system","Tue May 12 16:25:37 UTC 2026","passed","Tue May 12 16:25:39 UTC 2026","Authorization","Authentication","",""
"","1419","Check displaying of empty courses list","LMS system","Tue May 12 16:25:41 UTC 2026","passed","Tue May 12 16:25:42 UTC 2026","Authorization","Authentication","",""
